Stato,TTCI,EE,TTPEC,INF,NCR,BE,SS,HH,HRLM,ICTR,PTT,IO,PC,ES,ATI,GPI,TSI,NR,CRBT
North Macedonia,3.4,4.9,3.8,3.0,1.8,4.3,5.2,6.0,4.1,4.7,3.7,2.3,5.8,3.6,2.4,2.6,3.9,2.2,1.4
Norway,4.6,5.9,4.9,4.9,2.7,5.3,6.1,6.4,5.5,6.3,5.4,4.0,4.2,5.8,5.6,3.9,5.1,3.2,2.2
Oman,4.0,5.4,4.4,4.0,2.2,5.3,6.5,5.3,4.6,5.3,4.7,2.8,5.7,4.4,3.4,4.4,4.1,2.3,2.0
Pakistan,3.1,3.7,3.8,2.7,2.1,4.2,3.7,4.5,3.4,3.0,3.6,2.2,5.7,3.6,2.2,3.3,2.7,2.3,1.9
Panama,4.2,4.7,4.9,4.3,2.8,4.7,5.3,5.1,4.1,4.6,4.9,4.5,5.6,4.7,4.5,3.7,4.7,4.0,1.6
Paraguay,3.2,4.4,4.2,2.4,1.9,4.3,4.9,5.1,3.9,3.9,5.0,2.7,5.4,3.8,1.6,2.3,3.2,2.5,1.4
Peru,4.2,4.5,4.7,3.6,3.9,4.1,4.7,4.9,4.6,4.1,4.7,4.5,5.3,4.4,2.8,2.5,5.3,4.7,3.1
Philippines,3.8,4.4,4.6,3.2,2.8,4.3,3.6,4.8,5.0,4.4,4.9,3.5,5.9,4.0,3.2,2.8,3.6,3.8,1.8
Poland,4.2,5.3,4.5,4.0,3.1,4.3,5.6,6.3,4.8,5.5,4.2,4.1,5.7,4.2,3.2,4.3,4.5,3.2,3.0
Portugal,4.9,5.5,4.8,5.2,4.0,4.7,6.3,6.0,5.1,5.5,5.7,4.2,5.1,4.2,4.7,4.2,6.7,4.0,4.1
Qatar,4.1,5.6,4.6,4.8,1.6,5.6,6.3,5.3,5.1,5.6,4.4,3.5,5.9,4.4,4.5,4.7,5.0,1.8,1.4
Romania,4.0,5.2,4.5,3.5,2.8,4.4,6.0,6.1,4.5,5.2,4.1,3.9,5.6,4.4,2.7,3.1,4.6,3.2,2.3
Russian Federation,4.3,5.3,4.2,4.0,3.8,4.3,5.1,6.7,5.0,5.3,4.4,2.2,5.8,4.2,4.6,3.3,4.1,3.8,3.7
Rwanda,3.2,4.3,4.3,2.6,1.9,4.9,5.9,2.8,4.4,3.4,4.1,3.2,5.3,4.5,1.9,3.4,2.3,2.6,1.2
Saudi Arabia,3.9,5.4,4.0,4.3,1.9,5.2,6.0,5.7,4.6,5.2,4.6,1.6,5.9,4.0,4.1,3.5,5.1,1.9,1.9
Senegal,3.3,4.1,4.0,2.7,2.2,4.3,5.3,3.8,3.5,3.6,3.7,2.8,5.0,4.6,2.2,2.8,3.1,3.1,1.3
Serbia,3.6,5.2,4.3,3.2,1.9,4.4,5.5,6.3,4.7,5.1,3.9,3.2,5.5,4.5,2.6,3.0,3.9,2.1,1.7
Seychelles,3.9,5.1,4.2,4.7,1.8,4.7,5.2,5.4,5.0,5.0,5.9,2.7,3.9,4.3,4.3,4.4,5.4,2.6,1.0
Sierra Leone,2.8,3.7,3.7,2.1,1.6,4.0,5.1,2.3,4.0,3.1,3.4,2.8,4.4,4.2,1.7,2.7,1.9,2.1,1.1
Singapore,4.8,5.9,5.0,5.7,2.4,6.0,6.4,5.6,5.6,6.1,6.1,4.8,5.0,4.3,5.5,6.4,5.1,2.2,2.5
Slovak Republic,4.0,5.3,4.6,3.5,2.5,4.1,5.6,6.2,4.7,5.7,4.3,3.9,5.4,4.7,2.0,4.2,4.4,3.4,1.6
Slovenia,4.3,5.4,4.8,4.2,2.9,4.3,6.1,6.2,4.9,5.5,5.1,3.7,5.1,5.4,2.6,4.8,5.4,4.1,1.7
South Africa, 4.0,4.2, 4.1, 3.7, 3.9, 4.6, 3.9, 3.7,4.4,4.6, 4.5, 2.5, 5.6, 3.7, 3.3, 3.5, 4.3, 4.5, 3.2
Spain,5.4,5.5,4.9,5.6,5.7,4.5,6.1,6.2,4.9,5.8,5.9,3.9,5.0,4.7,5.0,5.2,6.6,4.8,6.7
Sri Lanka,3.7,4.7,4.3,3.2,2.7,4.4,5.4,5.3,4.4,3.9,5.2,2.7,5.4,4.0,2.8,3.7,3.3,3.6,1.7
Sweden,4.6,5.9,4.5,4.8,3.1,5.3,5.9,6.2,5.5,6.4,4.5,4.1,4.3,5.2,5.0,4.7,4.8,3.2,2.9
Switzerland,5.0,6.2,4.9,5.8,3.2,6.0,6.4,6.5,5.8,6.3,5.6,4.1,3.7,6.0,5.0,6.1,6.2,3.7,2.8
"Taiwan, China ",4.3,5.6,4.5,4.6, 2.6, 5.1, 6.0, 6.0, 5.3, 5.6, 4.7, 3.7, 5.4,4.4, 3.9, 5.1,4.8, 2.6, 2.6
Tajikistan, 3.3, 4.7,4.1, 2.3,2.1, 4.3, 5.6, 5.5, 4.7, 3.4, 4.3, 2.5, 5.6, 3.9, 2.2, 2.8, 2.0, 2.9, 1.3
Tanzania, 3.4,3.7,4.5, 2.5, 3.0, 4.0, 5.2, 3.0, 3.6, 2.9, 4.9,3.3, 5.5, 4.4, 2.2, 2.8, 2.4, 4.7, 1.3
Thailand,4.5,5.0,4.6,4.6,3.7,4.9,4.8,5.0,5.1,5.2,5.2,3.9,5.8,3.6,4.6,3.3,5.9,4.8,2.6
Trinidad and Tobago,3.6,4.7, 4.3, 3.8, 1.6, 4.4, 3.9, 5.7,4.5, 5.0, 4.0, 3.6, 5.6, 3.9, 3.1,4.0,4.1, 2.0, 1.2
Tunisia,3.6, 4.7, 4.5,3.1, 2.0, 4.4, 5.2, 5.2, 4.1,4.4, 5.0, 2.6, 6.1, 4.4, 2.5, 2.8, 4.1, 2.6, 1.4
Turkey,4.2,4.6,4.5,4.4,3.3,4.4,4.3,5.5,4.2,4.6,5.1,3.8,5.6,3.7,4.7,3.6,5.0,2.8,3.8
Uganda,3.2,3.7,4.3,2.2,2.6,4.2,4.7,2.5,4.1,3.0,4.3,3.0,5.7,4.2,1.7,2.5,2.3,3.7,1.5
Ukraine,3.7,5.0,4.5,3.4,2.1,4.1,4.8,6.5,4.8,4.5,4.3,3.7,5.9,3.9,2.7,3.1,4.3,2.2,1.9
United Arab Emirates,4.4,5.8,4.4,5.3,2.3,5.6,6.3,5.4,5.1,6.4,4.7,3.0,5.5,4.5,5.7,4.5,5.6,2.4,2.2
United Kingdom,5.2,5.8,4.4,5.6,5.0,5.8,5.8,5.8,5.5,6.2,4.9,4.2,3.2,5.2,5.2,5.4,6.1,4.4,5.6
United States,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
Uruguay,3.8,5.3,4.4,3.3,2.1,4.4,5.3,6.2,4.7,5.7,5.3,3.0,5.0,4.2,2.3,2.8,4.8,2.5,1.8
Venezuela,3.1,3.6,3.6,2.3,3.1,2.4,3.3,5.1,3.6,3.6,3.4,2.2,5.1,3.7,1.8,2.0,3.0,4.1,2.1
Viet Nam,3.9,4.8,4.4,3.1,3.4,4.4,5.6,5.0,4.8,4.3,4.1,3.7,5.9,3.8,3.4,3.0,2.8,3.8,2.9
Yemen,2.4,3.2,3.2,1.7,1.6,3.5,3.2,4.1,3.0,2.4,2.1,1.3,6.0,3.4,1.2,2.0,1.9,1.8,1.3
Zambia,3.2,3.9,4.1,2.2,2.5,4.4,5.3,2.6,3.8,3.2,3.9,2.9,5.1,4.4,1.8,2.4,2.5,3.6,1.3
Zimbabwe,3.2,3.7,4.1,2.3,2.4,3.3,5.4,3.0,3.6,3.2,4.2,3.0,5.3,4.1,1.8,2.3,3.0,3.6,1.3
