Paesi,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CAMBODIA,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMEROON,,,,,,,,,,,,451.0,477.0,487.0,498.0,573.0,604.0,817.0,783.0,822.0,897.0,994.0,1081.0,997.0,1021.0,
CANADA,41657.0,43256.0,45076.0,48064.0,49055.0,48638.0,47147.0,44896.0,38903.0,38845.0,36160.0,33390.0,30373.0,27370.0,24696.0,25621.0,25066.0,25318.0,25167.0,25558.0,27555.0,30142.0,31081.0,31274.0,32430.0,5068.0
CAYMAN ISLANDS,1044.0,1173.0,1248.0,1275.0,1431.0,1385.0,1549.0,1878.0,2113.0,1953.0,1967.0,2197.0,2008.0,1856.0,1792.0,1886.0,1710.0,1829.0,1721.0,1993.0,2102.0,2097.0,2147.0,2384.0,2334.0,660.0
CENTRAL AFRICAN REPUBLIC,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAD,58.0,67.0,77.0,89.0,93.0,94.0,175.0,149.0,101.0,106.0,59.0,,,,,,,,,,,,,,,
CHILE,,,,,,,,,,,,,,3713.0,3657.0,3584.0,3963.0,4397.0,4457.0,4601.0,5487.0,6712.0,7621.0,6603.0,5431.0,1310.5
CHINA,46387.0,51128.0,57588.0,63478.0,72796.0,83444.0,89013.0,97908.0,91662.0,109038.0,120292.0,124942.0,131873.0,130027.0,126476.0,133762.0,135423.0,132405.0,129078.0,128499.0,133820.0,141774.0,153260.0,158606.0,162538.0,30402.0
COLOMBIA,1433.0,751.0,758.0,823.0,725.0,707.0,788.0,661.0,668.0,840.0,981.0,2096.0,2381.0,2545.0,2649.0,1701.0,2356.0,2434.0,2595.0,2866.0,3371.0,3675.0,4056.0,4397.0,4531.0,1396.0
COMOROS,,,,,,,,,,,,,,,,,,,,,,,,,,
CONGO,,,,,,,,,,,,,,,,199.0,224.0,259.0,345.0,229.0,224.0,213.0,151.0,158.0,,
"CONGO, DEMOCRATIC REPUBLIC OF THE",85.0,,,,,,,,,,,,,,,,197.0,,,,,,,,,
COOK ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,
COSTA RICA,924.0,940.0,1013.0,1167.0,1267.0,1278.0,1320.0,1335.0,1514.0,1771.0,1959.0,2071.0,2302.0,2409.0,2309.0,2495.0,2526.0,2542.0,2641.0,2760.0,2899.0,3204.0,3231.0,3313.0,3366.0,1146.5
COTE D´IVOIRE,188.0,237.0,274.0,301.0,,,,,,,,,182.0,205.0,231.0,252.0,270.0,289.0,380.0,471.0,1441.0,1583.0,1800.0,1965.0,2070.0,668.0
CROATIA,16100.0,19085.0,23660.0,25499.0,29215.0,37226.0,40129.0,41737.0,42857.0,44974.0,45762.0,47733.0,52271.0,51336.0,47573.0,49006.0,49969.0,47185.0,48345.0,51168.0,55858.0,57587.0,59238.0,57668.0,60021.0,21608.0
CUBA,745.0,1004.0,1170.0,1416.0,1603.0,1774.0,1775.0,1686.0,1906.0,2049.0,2319.0,2221.0,2152.0,2348.0,2430.0,2532.0,2716.0,2847.0,2862.0,3014.0,3540.0,4009.0,4654.0,4712.0,4276.0,1086.0
CURAÇAO,396.0,387.0,422.0,437.0,433.0,514.0,519.0,545.0,508.0,452.0,510.0,572.0,664.0,773.0,808.0,762.0,837.0,908.0,1071.0,1129.0,1072.0,944.0,1058.0,1210.0,1293.0,436.0
CYPRUS,2253.0,2089.0,2194.0,2357.0,2578.0,2912.0,2841.0,2495.0,2416.0,2478.0,2657.0,2629.0,2671.0,2631.0,2370.0,2450.0,2626.0,2635.0,2626.0,2558.0,2780.0,3286.0,3750.0,4024.0,4117.0,
