ConferenceLocation,Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TTCI,EE,TTPEC,INF,NCR,BE,SS,HH,HRLM,ICTR,PTT,IO,PC,ES,ATI,GPI,TSI,NR,CRBT
"Austin, Texas, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Wrocław, Lower Silesian Voivodeship, Poland",Poland,82244.0,87439.0,87817.0,88592.0,89118.0,84515.0,61431.0,50735.0,52130.0,61918.0,64606.0,65115.0,66208.0,59935.0,53840.0,58340.0,60745.0,67390.0,72310.0,73750.0,77743.0,80476.0,83804.0,85946.0,88515.0,51076.0,4.2,5.3,4.5,4.0,3.1,4.3,5.6,6.3,4.8,5.5,4.2,4.1,5.7,4.2,3.2,4.3,4.5,3.2,3.0
"Innsbruck, Tyrol, Austria",Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.9,4.9,5.4,3.6,4.8,6.2,7.0,5.3,6.1,5.3,4.0,4.7,5.7,4.2,5.2,6.7,4.1,3.2
"Villefranche-sur-Saône, Auvergne-Rhône-Alpes, France",France,,148263.0,157551.0,,,,,,,190282.0,185829.0,193882.0,193319.0,193571.0,192369.0,189826.0,196595.0,197522.0,204410.0,206599.0,203302.0,203042.0,207274.0,211998.0,217877.0,117109.0,5.4,5.6,4.8,5.4,5.9,4.8,5.7,6.5,5.1,5.9,5.1,4.2,4.5,5.3,4.8,5.6,5.7,4.9,6.8
"Zakopane, Lesser Poland Voivodeship, Poland",Poland,82244.0,87439.0,87817.0,88592.0,89118.0,84515.0,61431.0,50735.0,52130.0,61918.0,64606.0,65115.0,66208.0,59935.0,53840.0,58340.0,60745.0,67390.0,72310.0,73750.0,77743.0,80476.0,83804.0,85946.0,88515.0,51076.0,4.2,5.3,4.5,4.0,3.1,4.3,5.6,6.3,4.8,5.5,4.2,4.1,5.7,4.2,3.2,4.3,4.5,3.2,3.0
"Lisbon, Portugal",Portugal,23066.0,23252.0,24244.0,26560.0,27016.0,28014.0,28150.0,27194.0,27532.0,21165.0,21173.0,22588.0,,,,,,,,,,,,,,,4.9,5.5,4.8,5.2,4.0,4.7,6.3,6.0,5.1,5.5,5.7,4.2,5.1,4.2,4.7,4.2,6.7,4.0,4.1
"Lübeck, Schleswig-Holstein, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.0,4.8,5.5,5.3,5.4,5.8,7.0,5.7,6.0,5.0,4.3,4.6,5.3,4.9,5.7,5.9,4.1,6.5
"Poznań, Greater Poland Voivodeship, Poland",Poland,82244.0,87439.0,87817.0,88592.0,89118.0,84515.0,61431.0,50735.0,52130.0,61918.0,64606.0,65115.0,66208.0,59935.0,53840.0,58340.0,60745.0,67390.0,72310.0,73750.0,77743.0,80476.0,83804.0,85946.0,88515.0,51076.0,4.2,5.3,4.5,4.0,3.1,4.3,5.6,6.3,4.8,5.5,4.2,4.1,5.7,4.2,3.2,4.3,4.5,3.2,3.0
"Portland, Oregon, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Catania, Sicily, Italy",Italy,55706.0,59805.0,57998.0,58499.0,59521.0,62702.0,60960.0,63561.0,63026.0,58480.0,59230.0,66353.0,70271.0,70719.0,71692.0,73225.0,75866.0,76293.0,76762.0,77694.0,81068.0,84925.0,89931.0,93228.6,95399.0,38419.0,5.1,5.2,4.4,5.0,5.7,4.0,5.5,6.3,4.6,5.5,4.8,4.1,4.4,4.3,4.4,4.7,6.0,4.9,6.5
"Glasgow, Scotland, United Kingdom",United Kingdom,23537.0,25163.0,25515.0,25745.0,25394.0,25209.0,22835.0,24180.0,24715.0,27755.0,29970.0,32713.0,32778.0,31888.0,31072.0,30398.0,31886.0,32221.0,33567.0,35337.0,36792.0,39129.0,41080.0,40283.0,40857.0,11101.0,5.2,5.8,4.4,5.6,5.0,5.8,5.8,5.8,5.5,6.2,4.9,4.2,3.2,5.2,5.2,5.4,6.1,4.4,5.6
"Las Vegas, Nevada, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Brno, Southeast, Czechia",Czechia,,,,,,,,,20108.0,23808.0,24747.0,25102.0,22625.0,21850.0,23285.0,21941.0,22810.0,25750.0,26332.0,27166.0,29604.0,32519.0,34701.0,36268.0,37202.0,,4.3,5.6,4.7,4.5,2.5,4.5,6.1,6.9,4.9,5.7,4.3,4.2,5.4,5.0,3.4,4.9,5.2,2.5,2.4
"Chicago, Illinois, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Berlin, Berlin, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.0,4.8,5.5,5.3,5.4,5.8,7.0,5.7,6.0,5.0,4.3,4.6,5.3,4.9,5.7,5.9,4.1,6.5
"Leuven, Flemish Brabant, Belgium",Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5.6,4.5,4.9,3.1,4.8,5.7,6.5,5.3,5.8,4.4,4.1,4.8,4.8,4.1,5.5,5.2,2.5,3.7
"Melbourne, Victoria, Australia",Australia,3726.0,4165.0,4318.0,4167.0,4459.0,4931.0,4856.0,4841.0,4746.0,5215.0,5499.0,5532.0,5644.0,5586.0,5490.0,5790.0,5771.0,6032.0,6482.0,6922.0,7449.0,8269.0,8815.0,9246.0,9466.0,1828.0,5.1,5.7,4.7,5.2,4.9,5.1,6.1,6.2,5.1,5.8,5.3,4.9,4.4,4.4,6.0,3.6,6.1,5.5,4.4
"Hong Kong Island, Hong Kong, China",China,46387.0,51128.0,57588.0,63478.0,72796.0,83444.0,89013.0,97908.0,91662.0,109038.0,120292.0,124942.0,131873.0,130027.0,126476.0,133762.0,135423.0,132405.0,129078.0,128499.0,133820.0,141774.0,153260.0,158606.0,162538.0,30402.0,4.9,5.2,4.3,3.9,6.1,4.7,5.6,5.6,5.2,5.0,4.8,3.1,5.7,3.8,4.3,3.9,3.5,5.1,7.0
"Pittsburgh, Pennsylvania, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"San Francisco, California, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Patras, Peloponnese, Western Greece and the Ionian, Greece",Greece,10712.0,9782.0,10588.0,11364.0,12606.0,13567.0,14678.0,14918.0,14785.0,14268.0,15938.0,17284.0,,,,,,,20112.0,24272.0,26114.0,28071.0,30161.0,33072.0,34005.0,7406.0,4.5,5.2,4.8,4.8,3.4,3.9,5.6,6.5,4.7,5.2,5.6,4.1,4.9,4.5,4.8,3.8,5.8,3.5,3.3
"Hefei City, Anhui, China",China,46387.0,51128.0,57588.0,63478.0,72796.0,83444.0,89013.0,97908.0,91662.0,109038.0,120292.0,124942.0,131873.0,130027.0,126476.0,133762.0,135423.0,132405.0,129078.0,128499.0,133820.0,141774.0,153260.0,158606.0,162538.0,30402.0,4.9,5.2,4.3,3.9,6.1,4.7,5.6,5.6,5.2,5.0,4.8,3.1,5.7,3.8,4.3,3.9,3.5,5.1,7.0
"Hsinchu, Taiwan Province, Taiwan",Taiwan,2332.0,2358.0,2372.0,2299.0,2411.0,2624.0,2831.0,2978.0,2248.0,2950.0,3378.0,3520.0,3716.0,3845.0,4395.0,5567.0,6087.0,7311.0,8016.0,9910.0,10440.0,10690.0,10740.0,11067.0,11864.0,1378.0,4.3,5.6,4.5,4.6,2.6,5.1,6.0,6.0,5.3,5.6,4.7,3.7,5.4,4.4,3.9,5.1,4.8,2.6,2.6
"New Hampshire, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"New York, New York, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Athens, Attica, Greece",Greece,10712.0,9782.0,10588.0,11364.0,12606.0,13567.0,14678.0,14918.0,14785.0,14268.0,15938.0,17284.0,,,,,,,20112.0,24272.0,26114.0,28071.0,30161.0,33072.0,34005.0,7406.0,4.5,5.2,4.8,4.8,3.4,3.9,5.6,6.5,4.7,5.2,5.6,4.1,4.9,4.5,4.8,3.8,5.8,3.5,3.3
"Sydney, New South Wales, Australia",Australia,3726.0,4165.0,4318.0,4167.0,4459.0,4931.0,4856.0,4841.0,4746.0,5215.0,5499.0,5532.0,5644.0,5586.0,5490.0,5790.0,5771.0,6032.0,6482.0,6922.0,7449.0,8269.0,8815.0,9246.0,9466.0,1828.0,5.1,5.7,4.7,5.2,4.9,5.1,6.1,6.2,5.1,5.8,5.3,4.9,4.4,4.4,6.0,3.6,6.1,5.5,4.4
"Wuhan, Hubei, China",China,46387.0,51128.0,57588.0,63478.0,72796.0,83444.0,89013.0,97908.0,91662.0,109038.0,120292.0,124942.0,131873.0,130027.0,126476.0,133762.0,135423.0,132405.0,129078.0,128499.0,133820.0,141774.0,153260.0,158606.0,162538.0,30402.0,4.9,5.2,4.3,3.9,6.1,4.7,5.6,5.6,5.2,5.0,4.8,3.1,5.7,3.8,4.3,3.9,3.5,5.1,7.0
"Santa Barbara, California, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Seattle, Washington, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Uppsala, Sweden",Sweden,,,,,,,7432.0,7457.0,7627.0,,,,,,,,19405.0,20011.0,18803.0,19945.0,,,,,,,4.6,5.9,4.5,4.8,3.1,5.3,5.9,6.2,5.5,6.4,4.5,4.1,4.3,5.2,5.0,4.7,4.8,3.2,2.9
"Washington, District of Columbia, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Tallinn, Estonia",Estonia,2111.0,2444.0,2618.0,2909.0,3181.0,3310.0,3230.0,3253.0,3378.0,,,,,3828.0,3834.0,4369.0,4907.0,5007.0,5737.0,5804.0,5696.0,5942.0,6145.0,6033.0,6103.0,1695.0,4.2,5.8,4.9,4.1,2.0,5.1,6.2,6.3,5.1,6.1,5.4,3.7,5.4,5.2,2.5,4.5,5.4,2.4,1.6
"Bangkok, Bangkok, Thailand",Thailand,,7434.0,7530.0,8204.0,9151.0,10096.0,10751.0,,,,,,,,,,,,,,,,,,,,4.5,5.0,4.6,4.6,3.7,4.9,4.8,5.0,5.1,5.2,5.2,3.9,5.8,3.6,4.6,3.3,5.9,4.8,2.6
"Hyderabad, Telangana, India",India,2143.0,2308.0,2395.0,2382.0,2508.0,2677.0,2591.0,2428.0,2774.0,3512.0,4038.0,4626.0,5244.0,5373.0,5295.0,5881.0,,,,,,,,,,,4.4,4.4,4.5,3.8,5.0,4.9,4.5,4.4,4.5,3.6,4.3,3.8,6.1,3.6,4.2,4.5,2.8,4.5,5.5
"Santiago, Santiago Metropolitan Region, Chile",Chile,,,,,,,,,,,,,,3713.0,3657.0,3584.0,3963.0,4397.0,4457.0,4601.0,5487.0,6712.0,7621.0,6603.0,5431.0,1310.5,4.1,5.2,4.8,3.6,2.8,4.9,5.7,5.2,4.8,5.4,4.7,4.7,5.6,4.2,3.1,3.4,4.3,3.2,2.4
"Turku, Finland",Finland,,,,3432.0,3363.0,3789.0,4252.0,4687.0,4527.0,4854.0,5038.0,5345.0,5736.0,6072.0,5695.0,6182.0,7260.0,7636.0,,,,,,,,,4.5,6.1,4.8,4.7,2.5,5.7,6.7,6.4,5.5,6.1,5.0,4.1,4.7,5.6,4.9,4.5,4.7,2.9,2.0
"Stirling, Scotland, United Kingdom",United Kingdom,23537.0,25163.0,25515.0,25745.0,25394.0,25209.0,22835.0,24180.0,24715.0,27755.0,29970.0,32713.0,32778.0,31888.0,31072.0,30398.0,31886.0,32221.0,33567.0,35337.0,36792.0,39129.0,41080.0,40283.0,40857.0,11101.0,5.2,5.8,4.4,5.6,5.0,5.8,5.8,5.8,5.5,6.2,4.9,4.2,3.2,5.2,5.2,5.4,6.1,4.4,5.6
"Versailles, Ile-de-France, France",France,,148263.0,157551.0,,,,,,,190282.0,185829.0,193882.0,193319.0,193571.0,192369.0,189826.0,196595.0,197522.0,204410.0,206599.0,203302.0,203042.0,207274.0,211998.0,217877.0,117109.0,5.4,5.6,4.8,5.4,5.9,4.8,5.7,6.5,5.1,5.9,5.1,4.2,4.5,5.3,4.8,5.6,5.7,4.9,6.8
"Belfast, Northern Ireland, United Kingdom",United Kingdom,23537.0,25163.0,25515.0,25745.0,25394.0,25209.0,22835.0,24180.0,24715.0,27755.0,29970.0,32713.0,32778.0,31888.0,31072.0,30398.0,31886.0,32221.0,33567.0,35337.0,36792.0,39129.0,41080.0,40283.0,40857.0,11101.0,5.2,5.8,4.4,5.6,5.0,5.8,5.8,5.8,5.5,6.2,4.9,4.2,3.2,5.2,5.2,5.4,6.1,4.4,5.6
"Jiangmen, Guangdong Province, China",China,46387.0,51128.0,57588.0,63478.0,72796.0,83444.0,89013.0,97908.0,91662.0,109038.0,120292.0,124942.0,131873.0,130027.0,126476.0,133762.0,135423.0,132405.0,129078.0,128499.0,133820.0,141774.0,153260.0,158606.0,162538.0,30402.0,4.9,5.2,4.3,3.9,6.1,4.7,5.6,5.6,5.2,5.0,4.8,3.1,5.7,3.8,4.3,3.9,3.5,5.1,7.0
"Monterey County, California, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Augsburg, Bavaria, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.0,4.8,5.5,5.3,5.4,5.8,7.0,5.7,6.0,5.0,4.3,4.6,5.3,4.9,5.7,5.9,4.1,6.5
"Maputo, Mozambique",Mozambique,,,,,,,404.0,943.0,726.0,711.0,954.0,1095.0,1259.0,1439.0,1711.0,1836.0,2013.0,2206.0,1970.0,1751.0,1634.0,1715.0,1514.0,2870.0,2033.0,959.0,2.9,3.1,4.2,2.3,2.0,3.8,4.7,1.7,3.5,2.1,4.0,3.1,5.6,4.3,1.8,2.2,2.8,2.8,1.2
"Brisbane City, Queensland, Australia",Australia,3726.0,4165.0,4318.0,4167.0,4459.0,4931.0,4856.0,4841.0,4746.0,5215.0,5499.0,5532.0,5644.0,5586.0,5490.0,5790.0,5771.0,6032.0,6482.0,6922.0,7449.0,8269.0,8815.0,9246.0,9466.0,1828.0,5.1,5.7,4.7,5.2,4.9,5.1,6.1,6.2,5.1,5.8,5.3,4.9,4.4,4.4,6.0,3.6,6.1,5.5,4.4
"Xi'an, Shaanxi, China",China,46387.0,51128.0,57588.0,63478.0,72796.0,83444.0,89013.0,97908.0,91662.0,109038.0,120292.0,124942.0,131873.0,130027.0,126476.0,133762.0,135423.0,132405.0,129078.0,128499.0,133820.0,141774.0,153260.0,158606.0,162538.0,30402.0,4.9,5.2,4.3,3.9,6.1,4.7,5.6,5.6,5.2,5.0,4.8,3.1,5.7,3.8,4.3,3.9,3.5,5.1,7.0
"Oulu, Finland",Finland,,,,3432.0,3363.0,3789.0,4252.0,4687.0,4527.0,4854.0,5038.0,5345.0,5736.0,6072.0,5695.0,6182.0,7260.0,7636.0,,,,,,,,,4.5,6.1,4.8,4.7,2.5,5.7,6.7,6.4,5.5,6.1,5.0,4.1,4.7,5.6,4.9,4.5,4.7,2.9,2.0
"Budapest, Hungary",Hungary,39240.0,39833.0,37315.0,33624.0,28803.0,31141.0,30679.0,31739.0,31412.0,33934.0,36173.0,38318.0,39379.0,39554.0,40624.0,39904.0,41304.0,43565.0,43611.0,45984.0,48345.0,52890.0,54962.0,57667.0,61397.0,31641.0,4.2,5.3,4.8,4.1,2.5,4.3,5.8,6.6,4.6,5.3,5.1,4.2,5.3,4.8,3.4,4.2,4.8,2.7,2.3
"Worcester, Massachusetts, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Zagreb, Croatia",Croatia,16100.0,19085.0,23660.0,25499.0,29215.0,37226.0,40129.0,41737.0,42857.0,44974.0,45762.0,47733.0,52271.0,51336.0,47573.0,49006.0,49969.0,47185.0,48345.0,51168.0,55858.0,57587.0,59238.0,57668.0,60021.0,21608.0,4.5,5.1,4.8,4.7,3.6,3.8,5.9,6.3,4.1,5.2,4.9,4.2,5.0,5.1,3.6,3.9,6.5,4.4,2.8
"Toulouse, Occitania, France",France,,148263.0,157551.0,,,,,,,190282.0,185829.0,193882.0,193319.0,193571.0,192369.0,189826.0,196595.0,197522.0,204410.0,206599.0,203302.0,203042.0,207274.0,211998.0,217877.0,117109.0,5.4,5.6,4.8,5.4,5.9,4.8,5.7,6.5,5.1,5.9,5.1,4.2,4.5,5.3,4.8,5.6,5.7,4.9,6.8
"Sendai, Japan",Japan,3345.0,3837.0,4218.0,4106.0,4438.0,4757.0,4772.0,5239.0,5212.0,6138.0,6728.0,7334.0,8347.0,8351.0,6790.0,8611.0,6219.0,8358.0,10364.0,13413.0,19737.0,24039.0,28691.0,31191.0,31881.0,4115.8,5.4,5.9,4.8,5.5,5.3,5.4,6.2,6.4,5.3,6.2,5.3,4.6,4.8,4.4,4.8,6.0,5.7,4.1,6.5
"Bengaluru, Karnataka, India",India,2143.0,2308.0,2395.0,2382.0,2508.0,2677.0,2591.0,2428.0,2774.0,3512.0,4038.0,4626.0,5244.0,5373.0,5295.0,5881.0,,,,,,,,,,,4.4,4.4,4.5,3.8,5.0,4.9,4.5,4.4,4.5,3.6,4.3,3.8,6.1,3.6,4.2,4.5,2.8,4.5,5.5
"Aachen, North Rhine-Westphalia, Germany",Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,6.0,4.8,5.5,5.3,5.4,5.8,7.0,5.7,6.0,5.0,4.3,4.6,5.3,4.9,5.7,5.9,4.1,6.5
"Tokyo, Japan",Japan,3345.0,3837.0,4218.0,4106.0,4438.0,4757.0,4772.0,5239.0,5212.0,6138.0,6728.0,7334.0,8347.0,8351.0,6790.0,8611.0,6219.0,8358.0,10364.0,13413.0,19737.0,24039.0,28691.0,31191.0,31881.0,4115.8,5.4,5.9,4.8,5.5,5.3,5.4,6.2,6.4,5.3,6.2,5.3,4.6,4.8,4.4,4.8,6.0,5.7,4.1,6.5
"Venice, Veneto, Italy",Italy,55706.0,59805.0,57998.0,58499.0,59521.0,62702.0,60960.0,63561.0,63026.0,58480.0,59230.0,66353.0,70271.0,70719.0,71692.0,73225.0,75866.0,76293.0,76762.0,77694.0,81068.0,84925.0,89931.0,93228.6,95399.0,38419.0,5.1,5.2,4.4,5.0,5.7,4.0,5.5,6.3,4.6,5.5,4.8,4.1,4.4,4.3,4.4,4.7,6.0,4.9,6.5
"Florence, Tuscany, Italy",Italy,55706.0,59805.0,57998.0,58499.0,59521.0,62702.0,60960.0,63561.0,63026.0,58480.0,59230.0,66353.0,70271.0,70719.0,71692.0,73225.0,75866.0,76293.0,76762.0,77694.0,81068.0,84925.0,89931.0,93228.6,95399.0,38419.0,5.1,5.2,4.4,5.0,5.7,4.0,5.5,6.3,4.6,5.5,4.8,4.1,4.4,4.3,4.4,4.7,6.0,4.9,6.5
"Grenoble, Auvergne-Rhône-Alpes, France",France,,148263.0,157551.0,,,,,,,190282.0,185829.0,193882.0,193319.0,193571.0,192369.0,189826.0,196595.0,197522.0,204410.0,206599.0,203302.0,203042.0,207274.0,211998.0,217877.0,117109.0,5.4,5.6,4.8,5.4,5.9,4.8,5.7,6.5,5.1,5.9,5.1,4.2,4.5,5.3,4.8,5.6,5.7,4.9,6.8
"Haifa, Haifa District, Israel",Israel,2530.0,2360.0,2295.0,2200.0,2566.0,2672.0,1219.0,862.1,,1505.8,1916.0,1834.0,2294.0,3034.0,2740.0,3444.0,3362.0,3520.0,3540.0,3251.0,3109.0,3070.0,3863.0,4389.0,4905.0,887.0,4.0,5.6,3.9,4.5,2.0,5.1,5.5,6.0,5.3,5.9,5.0,2.5,3.6,4.3,3.6,4.4,5.4,2.3,1.7
"Palo Alto, California, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"London, England, United Kingdom",United Kingdom,23537.0,25163.0,25515.0,25745.0,25394.0,25209.0,22835.0,24180.0,24715.0,27755.0,29970.0,32713.0,32778.0,31888.0,31072.0,30398.0,31886.0,32221.0,33567.0,35337.0,36792.0,39129.0,41080.0,40283.0,40857.0,11101.0,5.2,5.8,4.4,5.6,5.0,5.8,5.8,5.8,5.5,6.2,4.9,4.2,3.2,5.2,5.2,5.4,6.1,4.4,5.6
"Barcelona, Catalonia, Spain",Spain,52460.0,55077.0,62415.0,68068.0,72040.0,74580.0,75564.0,79313.0,82326.0,85981.0,92563.0,96152.0,98907.0,97670.0,91899.0,93744.0,99187.0,98128.0,103231.0,107144.0,109834.0,115561.0,121717.0,124456.0,126170.0,36410.0,5.4,5.5,4.9,5.6,5.7,4.5,6.1,6.2,4.9,5.8,5.9,3.9,5.0,4.7,5.0,5.2,6.6,4.8,6.7
"Burgos, Castile and León, Spain",Spain,52460.0,55077.0,62415.0,68068.0,72040.0,74580.0,75564.0,79313.0,82326.0,85981.0,92563.0,96152.0,98907.0,97670.0,91899.0,93744.0,99187.0,98128.0,103231.0,107144.0,109834.0,115561.0,121717.0,124456.0,126170.0,36410.0,5.4,5.5,4.9,5.6,5.7,4.5,6.1,6.2,4.9,5.8,5.9,3.9,5.0,4.7,5.0,5.2,6.6,4.8,6.7
"Long Beach, California, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Los Angeles, California, United States",United States,79732.0,82756.0,82525.0,74767.0,75796.0,78343.0,70975.0,64434.0,62082.0,67606.0,71484.0,183178.0,175299.0,175703.0,160508.0,162275.0,147271.416,171629.897,179309.907,178311.354,176864.526,175261.488,174291.74599999998,169324.918,165478.0,45037.0,5.3,5.8,4.6,5.8,4.9,5.8,5.6,5.8,5.8,6.0,5.5,4.0,4.7,4.1,5.9,4.9,6.6,5.0,4.7
"Jyväskylä, Finland",Finland,,,,3432.0,3363.0,3789.0,4252.0,4687.0,4527.0,4854.0,5038.0,5345.0,5736.0,6072.0,5695.0,6182.0,7260.0,7636.0,,,,,,,,,4.5,6.1,4.8,4.7,2.5,5.7,6.7,6.4,5.5,6.1,5.0,4.1,4.7,5.6,4.9,4.5,4.7,2.9,2.0
"Rome, Lazio, Italy",Italy,55706.0,59805.0,57998.0,58499.0,59521.0,62702.0,60960.0,63561.0,63026.0,58480.0,59230.0,66353.0,70271.0,70719.0,71692.0,73225.0,75866.0,76293.0,76762.0,77694.0,81068.0,84925.0,89931.0,93228.6,95399.0,38419.0,5.1,5.2,4.4,5.0,5.7,4.0,5.5,6.3,4.6,5.5,4.8,4.1,4.4,4.3,4.4,4.7,6.0,4.9,6.5
