url,Citazioni,location
conf/wccce/wccce2017,5,"Abbotsford, BC, Canada"
conf/fit/fit2009,121,"Abbottabad, Pakistan"
conf/cosit/cosit2009,217,"Aber Wrac'h, France"
conf/iticse/iticse2019,96,"Aberdeen, Scotland, UK"
conf/icml/ml1992,1376,"Aberdeen, Scotland, UK"
conf/ewcbr/eccbr2002,430,"Aberdeen, Scotland, UK"
conf/iticse/iticse2019wgr,20,"Aberdeen, Scotland, UK - Working Group Reports"
conf/rweb/rweb2016,24,"Aberdeen, UK"
conf/cnl/cnl2016,11,"Aberdeen, UK"
conf/ecir/ecir2017,239,"Aberdeen, UK"
conf/qi/qi2011,35,"Aberdeen, UK"
conf/rr/rr2016,20,"Aberdeen, UK"
conf/eann/eann2016,89,"Aberdeen, UK"
conf/sab/sab2016,40,"Aberystwyth, UK"
conf/sam/sam2002,57,"Aberystwyth, Wales, UK"
conf/dsvis/dsvis1998-1,59,"Abingdon, United Kingdom"
conf/ac/ass1979,311,Abstract Software Specifications 1979
conf/ccs/asiaccs2017,654,"Abu Dhabi, United Arab Emirates"
conf/ccs/iotpts2017,49,"Abu Dhabi, United Arab Emirates"
conf/monami/monami2016,1,"Abu Dhabi, United Arab Emirates"
conf/ccs/scc2017,23,"Abu Dhabi, United Arab Emirates"
conf/ccs/asiacpss2017,42,"Abu Dhabi, United Arab Emirates"
conf/ccs/asiapkc2017,9,"Abu Dhabi, United Arab Emirates"
conf/ijcai/itwp2003,183,"Acapulco, Mexico"
conf/mamus/mamus2003,58,"Acapulco, Mexico"
conf/micai/micai2000,73,"Acapulco, Mexico"
conf/fc/fc2009,519,"Accra Beach, Barbados"
conf/ifip8-6/tdit2019,11,"Accra, Ghana"
conf/dev/compass2019,40,"Accra, Ghana"
conf/ekaw/ekaw2008,327,"Acitrezza, Italy"
conf/icalp/icalp81,383,"Acre (Akko), Israel"
conf/birthday/lovelace2015,2,Ada Lovelace 2015
conf/aecia/aecia2014,125,"Addis Ababa, Ethiopia"
conf/medes/medes2012,53,"Addis Ababa, Ethiopia"
conf/ifip12/iip2006,50,"Adelaide, Australia"
conf/ozchi/ozchi2013,442,"Adelaide, Australia"
conf/hic/hic2013,2,"Adelaide, Australia"
conf/apn/icatpn2002,150,"Adelaide, Australia"
conf/ozchi/ozchi2013lncs,5,"Adelaide, Australia - LNCS Selection"
conf/egve/icat-egve2017p,1,"Adelaide, Australia - Posters and Demos"
conf/ausdm/ausdm2019,5,"Adelaide, SA, Australia"
conf/aswec/aswec2015-2,45,"Adelaide, SA, Australia"
conf/ozchi/ozchi2007,314,"Adelaide, South Australia, Australia"
conf/giscience/giscience2004,317,"Adelphi, MD, USA"
conf/ac/acai1987,29,Advanced Topics in Artificial Intelligence 1987
