url,Citazioni
conf/aant/aant1997,66
conf/ab/ab2007,116
conf/ab/ab2008,51
conf/abials/abials2008,59
conf/abict/abict2012,15
conf/abp/abp2019,2
conf/ac/acai1987,29
conf/ac/acpn2003,580
conf/ac/adcs1993,15
conf/ac/ai1992,22
conf/ac/appsem2000,130
conf/ac/ass1979,311
conf/ac/biometrics2003,69
conf/ac/bt2016,7
conf/ac/cc1976,17
conf/ac/chd2002,59
conf/ac/crypto1997,58
conf/ac/data1996,104
conf/ac/dc1999,70
conf/ac/dc2003,165
conf/ac/ds,196
conf/ac/ds84,17
conf/ac/duration2007,7
conf/ac/entscheid1976,31
conf/ac/esat1991,19
conf/ac/fpc1986,38
conf/ac/gp2003,64
conf/ac/lan,10
conf/ac/lhi1975,63
conf/ac/mc1994,116
conf/ac/ml2001,166
conf/ac/ml2003,170
conf/ac/msd1981,6
conf/ac/n,345
conf/ac/os,624
conf/ac/parallel1986,47
conf/ac/petri1,775
conf/ac/petri2,107
conf/ac/petri86-2,456
conf/ac/se1972,60
conf/ac/tacs2000,25
conf/ac/tr1993,47
conf/aca/aca2014,22
conf/aca/aca2016,10
conf/acai/acai2011,39
conf/acal/acal2007,100
conf/acal/acal2009,37
conf/acal/acalci2015,39
conf/acal/acalci2016,44
conf/acalci/acalci2017,39
conf/acc/acc2011-1,136
conf/acc/acc2011-2,94
conf/acc/acc2011-3,145
conf/acc/acc2011-4,117
conf/accas/accas2011,13
conf/accurate/accurate1985,33
conf/accv/accv1995,94
conf/accv/accv1998-1,156
conf/accv/accv1998-2,153
conf/accv/accv2006-1,331
conf/accv/accv2006-2,410
conf/accv/accv2007-1,673
conf/accv/accv2007-2,619
conf/accv/accv2009-1,153
conf/accv/accv2009-2,221
conf/accv/accv2009-3,114
conf/accv/accv2010-1,308
conf/accv/accv2010-2,278
conf/accv/accv2010-3,384
conf/accv/accv2010-4,266
conf/accv/accv2010-w1,69
conf/accv/accv2010-w2,57
conf/accv/accv2012-1,387
conf/accv/accv2012-2,242
conf/accv/accv2012-3,229
conf/accv/accv2012-4,155
conf/accv/accv2012-w1,163
conf/accv/accv2012-w2,109
conf/accv/accv2014-1,141
conf/accv/accv2014-2,150
conf/accv/accv2014-3,127
conf/accv/accv2014-4,259
conf/accv/accv2014-5,105
conf/accv/accv2014-w1,64
conf/accv/accv2014-w2,51
conf/accv/accv2014-w3,62
conf/accv/accv2016-1,65
conf/accv/accv2016-2,65
conf/accv/accv2016-3,47
conf/accv/accv2016-4,39
conf/accv/accv2016-5,64
conf/accv/accv2016-w1,24
conf/accv/accv2016-w2,58
conf/accv/accv2016-w3,67
conf/accv/accv2018-1,18
conf/accv/accv2018-2,18
conf/accv/accv2018-3,32
conf/accv/accv2018-4,18
conf/accv/accv2018-5,22
conf/accv/accv2018-6,17
conf/accv/accv2018w,12
conf/ace/ace2017,61
conf/ace/ace2018,39
conf/ace/ace2019,13
conf/ace/ace2020,10
conf/aces/aces2019,2
conf/acfie/acfie2008,81
conf/acfie/acfie2010,52
conf/acg/acg2006,59
conf/acg/acg2009,152
conf/acg/acg2011,101
conf/acg/acg2015,28
conf/acg/acg2017,17
conf/acii/acii2005,957
conf/acii/acii2007,1102
conf/acii/acii2011-1,513
conf/acii/acii2011-2,508
conf/aciids/aciids2010-1,105
conf/aciids/aciids2010-2,178
conf/aciids/aciids2011-1,115
conf/aciids/aciids2011-2,171
conf/aciids/aciids2011p,54
conf/aciids/aciids2012-1,100
conf/aciids/aciids2012-2,153
conf/aciids/aciids2012-3,147
conf/aciids/aciids2013-1,114
conf/aciids/aciids2013-2,107
conf/aciids/aciids2014-1,149
conf/aciids/aciids2014-2,123
conf/aciids/aciids2015-1,105
conf/aciids/aciids2015-2,89
conf/aciids/aciids2016-1,142
conf/aciids/aciids2016-2,80
conf/aciids/aciids2017-1,63
conf/aciids/aciids2017-2,66
conf/aciids/aciids2017p,37
conf/aciids/aciids2018-1,70
conf/aciids/aciids2018-2,86
conf/aciids/aciids2018p,41
conf/aciids/aciids2019-1,30
conf/aciids/aciids2019-2,35
conf/aciids/aciids2019p,8
conf/aciids/aciids2020-1,5
conf/aciids/aciids2020-2,4
conf/aciids/aciids2020c,2
conf/acisp/acisp1999,149
conf/acisp/acisp2000,233
conf/acisp/acisp2001,250
conf/acisp/acisp2002,203
conf/acisp/acisp2004,541
conf/acisp/acisp2005,524
conf/acisp/acisp2006,348
conf/acisp/acisp2007,365
conf/acisp/acisp2008,267
conf/acisp/acisp2009,211
conf/acisp/acisp2010,182
conf/acisp/acisp2011,146
conf/acisp/acisp2012,207
